date,Colorado,US,Colorado_vs_US,US_vs_Colorado,Colorado_Change,US_Change,Denver,Denver_Change,Denver_vs_US,Denver_vs_Colorado,US_vs_Denver,Colorado_vs_Denver
1-Jan-13,7.4,8,-0.6,0.6,0,0,7.8,0,-0.2,0.4,0.2,-0.4
1-Feb-13,7.3,7.7,-0.4,0.4,-0.1,-0.3,7.6,-0.2,-0.1,0.3,0.1,-0.3
1-Mar-13,7.2,7.5,-0.3,0.3,-0.1,-0.2,7.3,-0.3,-0.2,0.1,0.2,-0.1
1-Apr-13,7.1,7.6,-0.5,0.5,-0.1,0.1,6.8,-0.5,-0.8,-0.3,0.8,0.3
1-May-13,7.1,7.5,-0.4,0.4,0,-0.1,6.7,-0.1,-0.8,-0.4,0.8,0.4
1-Jun-13,7,7.5,-0.5,0.5,-0.1,0,7,0.3,-0.5,0,0.5,0
1-Jul-13,6.9,7.3,-0.4,0.4,-0.1,-0.2,6.6,-0.4,-0.7,-0.3,0.7,0.3
1-Aug-13,6.8,7.2,-0.4,0.4,-0.1,-0.1,6.2,-0.4,-1,-0.6,1,0.6
1-Sep-13,6.6,7.2,-0.6,0.6,-0.2,0,6.1,-0.1,-1.1,-0.5,1.1,0.5
1-Oct-13,6.4,7.2,-0.8,0.8,-0.2,0,5.9,-0.2,-1.3,-0.5,1.3,0.5
1-Nov-13,6.3,6.9,-0.6,0.6,-0.1,-0.3,5.7,-0.2,-1.2,-0.6,1.2,0.6
1-Dec-13,6.1,6.7,-0.6,0.6,-0.2,-0.2,5.6,-0.1,-1.1,-0.5,1.1,0.5
1-Jan-14,6,6.6,-0.6,0.6,-0.1,-0.1,6.1,0.5,-0.5,0.1,0.5,-0.1
1-Feb-14,5.8,6.7,-0.9,0.9,-0.2,0.1,6.1,0,-0.6,0.3,0.6,-0.3
1-Mar-14,5.6,6.7,-1.1,1.1,-0.2,0,5.8,-0.3,-0.9,0.2,0.9,-0.2
1-Apr-14,5.4,6.3,-0.9,0.9,-0.2,-0.4,5.2,-0.6,-1.1,-0.2,1.1,0.2
1-May-14,5.2,6.3,-1.1,1.1,-0.2,0,4.8,-0.4,-1.5,-0.4,1.5,0.4
1-Jun-14,5,6.1,-1.1,1.1,-0.2,-0.2,4.8,0,-1.3,-0.2,1.3,0.2
1-Jul-14,4.8,6.2,-1.4,1.4,-0.2,0.1,4.6,-0.2,-1.6,-0.2,1.6,0.2
1-Aug-14,4.6,6.2,-1.6,1.6,-0.2,0,4.4,-0.2,-1.8,-0.2,1.8,0.2
1-Sep-14,4.5,5.9,-1.4,1.4,-0.1,-0.3,4,-0.4,-1.9,-0.5,1.9,0.5
1-Oct-14,4.4,5.7,-1.3,1.3,-0.1,-0.2,3.9,-0.1,-1.8,-0.5,1.8,0.5
1-Nov-14,4.4,5.8,-1.4,1.4,0,0.1,4,0.1,-1.8,-0.4,1.8,0.4
1-Dec-14,4.3,5.6,-1.3,1.3,-0.1,-0.2,4,0,-1.6,-0.3,1.6,0.3
1-Jan-15,4.3,5.7,-1.4,1.4,0,0.1,4.6,0.6,-1.1,0.3,1.1,-0.3
1-Feb-15,4.2,5.5,-1.3,1.3,-0.1,-0.2,4.5,-0.1,-1,0.3,1,-0.3
1-Mar-15,4.2,5.5,-1.3,1.3,0,0,4.3,-0.2,-1.2,0.1,1.2,-0.1
1-Apr-15,4.1,5.4,-1.3,1.3,-0.1,-0.1,3.8,-0.5,-1.6,-0.3,1.6,0.3
1-May-15,4,5.5,-1.5,1.5,-0.1,0.1,3.8,0,-1.7,-0.2,1.7,0.2
1-Jun-15,3.9,5.3,-1.4,1.4,-0.1,-0.2,3.9,0.1,-1.4,0,1.4,0
1-Jul-15,3.8,5.2,-1.4,1.4,-0.1,-0.1,3.6,-0.3,-1.6,-0.2,1.6,0.2
1-Aug-15,3.7,5.1,-1.4,1.4,-0.1,-0.1,3.3,-0.3,-1.8,-0.4,1.8,0.4
1-Sep-15,3.7,5,-1.3,1.3,0,-0.1,3.1,-0.2,-1.9,-0.6,1.9,0.6
1-Oct-15,3.6,5,-1.4,1.4,-0.1,0,3.1,0,-1.9,-0.5,1.9,0.5
1-Nov-15,3.5,5,-1.5,1.5,-0.1,0,3.1,0,-1.9,-0.4,1.9,0.4
1-Dec-15,3.5,5,-1.5,1.5,0,0,3.1,0,-1.9,-0.4,1.9,0.4
1-Jan-16,3.5,4.9,-1.4,1.4,0,-0.1,3.5,0.4,-1.4,0,1.4,0
1-Feb-16,3.4,4.9,-1.5,1.5,-0.1,0,3.5,0,-1.4,0.1,1.4,-0.1
1-Mar-16,3.4,5,-1.6,1.6,0,0.1,3.5,0,-1.5,0.1,1.5,-0.1
1-Apr-16,3.4,5,-1.6,1.6,0,0,3.3,-0.2,-1.7,-0.1,1.7,0.1
1-May-16,3.4,4.7,-1.3,1.3,0,-0.3,3,-0.3,-1.7,-0.4,1.7,0.4
1-Jun-16,3.4,4.9,-1.5,1.5,0,0.2,3.5,0.5,-1.4,0.1,1.4,-0.1
1-Jul-16,3.3,4.9,-1.6,1.6,-0.1,0,3.1,-0.4,-1.8,-0.2,1.8,0.2
1-Aug-16,3.3,4.9,-1.6,1.6,0,0,2.9,-0.2,-2,-0.4,2,0.4
1-Sep-16,3.2,5,-1.8,1.8,-0.1,0.1,2.8,-0.1,-2.2,-0.4,2.2,0.4
1-Oct-16,3.1,4.9,-1.8,1.8,-0.1,-0.1,2.7,-0.1,-2.2,-0.4,2.2,0.4
1-Nov-16,3,4.6,-1.6,1.6,-0.1,-0.3,2.6,-0.1,-2,-0.4,2,0.4
1-Dec-16,2.9,4.7,-1.8,1.8,-0.1,0.1,2.6,0,-2.1,-0.3,2.1,0.3
1-Jan-17,2.8,4.8,-2,2,-0.1,0.1,3,0.4,-1.8,0.2,1.8,-0.2
1-Feb-17,2.7,4.7,-2,2,-0.1,-0.1,2.9,-0.1,-1.8,0.2,1.8,-0.2
1-Mar-17,2.6,4.5,-1.9,1.9,-0.1,-0.2,2.7,-0.2,-1.8,0.1,1.8,-0.1
1-Apr-17,2.6,4.4,-1.8,1.8,0,-0.1,2.5,-0.2,-1.9,-0.1,1.9,0.1
1-May-17,2.6,4.3,-1.7,1.7,0,-0.1,2.4,-0.1,-1.9,-0.2,1.9,0.2
1-Jun-17,2.7,4.3,-1.6,1.6,0.1,0,2.8,0.4,-1.5,0.1,1.5,-0.1
1-Jul-17,2.8,4.3,-1.5,1.5,0.1,0,2.7,-0.1,-1.6,-0.1,1.6,0.1
1-Aug-17,2.9,4.4,-1.5,1.5,0.1,0.1,2.7,0,-1.7,-0.2,1.7,0.2
1-Sep-17,3,4.2,-1.2,1.2,0.1,-0.2,2.7,0,-1.5,-0.3,1.5,0.3
1-Oct-17,3,4.2,-1.2,1.2,0,0,2.7,0,-1.5,-0.3,1.5,0.3
